"id","scientific","english","region","abundance_estimate","abundance_lower","abundance_upper","density_estimate","density_lower","density_upper","areakmsq"
"ALFL","Empidonax alnorum","Alder Flycatcher","Canada",67.5,65.3,69.3,0.109,0.105,0.112,6.21
"ALFL","Empidonax alnorum","Alder Flycatcher","4 Northwestern Interior Forest",5.06,4.89,5.52,0.0927,0.0896,0.101,0.546
"ALFL","Empidonax alnorum","Alder Flycatcher","5 Northern Pacific Rainforest",0.206,0.178,0.238,0.0152,0.0131,0.0175,0.136
"ALFL","Empidonax alnorum","Alder Flycatcher","6 Boreal Taiga Plains",12.6,12.1,13.3,0.107,0.102,0.112,1.18
"ALFL","Empidonax alnorum","Alder Flycatcher","7 Taiga Shield & Hudson Plains",18.1,16.3,19.6,0.122,0.11,0.132,1.49
"ALFL","Empidonax alnorum","Alder Flycatcher","8 Boreal Softwood Shield",19.2,18.4,19.7,0.146,0.14,0.15,1.32
"ALFL","Empidonax alnorum","Alder Flycatcher","9 Great Basin",0.0594,0.0451,0.0693,0.0108,0.0082,0.0126,0.0552
"ALFL","Empidonax alnorum","Alder Flycatcher","10 Northern Rockies",1.66,1.55,1.75,0.0444,0.0416,0.0469,0.372
"ALFL","Empidonax alnorum","Alder Flycatcher","11 Prairie Potholes",1.26,1.2,1.37,0.0285,0.0269,0.0309,0.444
"ALFL","Empidonax alnorum","Alder Flycatcher","12 Boreal Hardwood Transition",4.25,4.05,4.35,0.114,0.109,0.116,0.373
"ALFL","Empidonax alnorum","Alder Flycatcher","13 Lower Great Lakes/St. Lawrence Plain",0.653,0.621,0.689,0.0641,0.061,0.0677,0.102
"ALFL","Empidonax alnorum","Alder Flycatcher","14 Atlantic Northern Forest",4.54,4.33,4.74,0.233,0.222,0.243,0.195
"ALFL","Empidonax alnorum","Alder Flycatcher","6-0 Boreal Taiga Plains, South",7.16,6.84,7.48,0.0947,0.0905,0.099,0.756
"ALFL","Empidonax alnorum","Alder Flycatcher","6-1 Boreal Taiga Plains, North",5.53,5.03,6,0.129,0.118,0.14,0.428
"ALFL","Empidonax alnorum","Alder Flycatcher","7-0 Taiga Shield & Hudson Plains, West",4.84,4.27,5.71,0.0863,0.0761,0.102,0.561
"ALFL","Empidonax alnorum","Alder Flycatcher","7-1 Taiga Shield & Hudson Plains, East",13.1,11.5,14.3,0.142,0.124,0.155,0.925
"ALFL","Empidonax alnorum","Alder Flycatcher","8-0 Boreal Softwood Shield, West",4.2,3.99,4.54,0.121,0.114,0.13,0.348
"ALFL","Empidonax alnorum","Alder Flycatcher","8-1 Boreal Softwood Shield, Ontario",5.55,5.31,5.91,0.141,0.134,0.15,0.395
"ALFL","Empidonax alnorum","Alder Flycatcher","8-2 Boreal Softwood Shield, East",8.91,8.54,9.27,0.188,0.18,0.196,0.473
"ALFL","Empidonax alnorum","Alder Flycatcher","8-3 Boreal Softwood Shield, Newfoundland",0.276,0.181,0.437,0.0292,0.0192,0.0463,0.0945
"AMCR","Corvus brachyrhynchos","American Crow","Canada",16.6,16.4,17.2,0.0267,0.0263,0.0276,6.21
"AMCR","Corvus brachyrhynchos","American Crow","4 Northwestern Interior Forest",0.0673,0.0507,0.0945,0.0012,9e-04,0.0017,0.546
"AMCR","Corvus brachyrhynchos","American Crow","5 Northern Pacific Rainforest",0.102,0.091,0.123,0.0075,0.0067,0.009,0.136
"AMCR","Corvus brachyrhynchos","American Crow","6 Boreal Taiga Plains",2.11,2.01,2.18,0.0178,0.017,0.0184,1.18
"AMCR","Corvus brachyrhynchos","American Crow","7 Taiga Shield & Hudson Plains",1.07,0.956,1.29,0.0072,0.0064,0.0087,1.49
"AMCR","Corvus brachyrhynchos","American Crow","8 Boreal Softwood Shield",4.01,3.74,4.28,0.0305,0.0284,0.0325,1.32
"AMCR","Corvus brachyrhynchos","American Crow","9 Great Basin",0.0993,0.0917,0.104,0.018,0.0166,0.0188,0.0552
"AMCR","Corvus brachyrhynchos","American Crow","10 Northern Rockies",0.62,0.584,0.656,0.0167,0.0157,0.0176,0.372
"AMCR","Corvus brachyrhynchos","American Crow","11 Prairie Potholes",2.91,2.84,3,0.0656,0.0641,0.0677,0.444
"AMCR","Corvus brachyrhynchos","American Crow","12 Boreal Hardwood Transition",2.35,2.29,2.49,0.0629,0.0613,0.0667,0.373
"AMCR","Corvus brachyrhynchos","American Crow","13 Lower Great Lakes/St. Lawrence Plain",1.46,1.38,1.51,0.143,0.136,0.148,0.102
"AMCR","Corvus brachyrhynchos","American Crow","14 Atlantic Northern Forest",1.81,1.7,1.9,0.0928,0.0874,0.0974,0.195
"AMCR","Corvus brachyrhynchos","American Crow","6-0 Boreal Taiga Plains, South",2.09,1.98,2.15,0.0276,0.0262,0.0284,0.756
"AMCR","Corvus brachyrhynchos","American Crow","6-1 Boreal Taiga Plains, North",0.0358,0.0191,0.0535,8e-04,4e-04,0.0013,0.428
"AMCR","Corvus brachyrhynchos","American Crow","7-0 Taiga Shield & Hudson Plains, West",0.17,0.118,0.246,0.003,0.0021,0.0044,0.561
"AMCR","Corvus brachyrhynchos","American Crow","7-1 Taiga Shield & Hudson Plains, East",0.891,0.792,1.12,0.0096,0.0086,0.0121,0.925
"AMCR","Corvus brachyrhynchos","American Crow","8-0 Boreal Softwood Shield, West",0.768,0.68,0.845,0.022,0.0195,0.0242,0.348
"AMCR","Corvus brachyrhynchos","American Crow","8-1 Boreal Softwood Shield, Ontario",1.18,1.08,1.29,0.0298,0.0274,0.0326,0.395
"AMCR","Corvus brachyrhynchos","American Crow","8-2 Boreal Softwood Shield, East",1.33,1.24,1.5,0.0282,0.0263,0.0318,0.473
"AMCR","Corvus brachyrhynchos","American Crow","8-3 Boreal Softwood Shield, Newfoundland",0.703,0.59,0.76,0.0744,0.0625,0.0804,0.0945
"AMGO","Spinus tristis","American Goldfinch","Canada",45.1,43.8,46.6,0.0725,0.0705,0.075,6.21
"AMGO","Spinus tristis","American Goldfinch","4 Northwestern Interior Forest",0.124,0.0746,0.166,0.0023,0.0014,0.003,0.546
"AMGO","Spinus tristis","American Goldfinch","5 Northern Pacific Rainforest",0.41,0.334,0.464,0.0301,0.0245,0.034,0.136
"AMGO","Spinus tristis","American Goldfinch","6 Boreal Taiga Plains",7,6.63,7.51,0.0592,0.056,0.0634,1.18
"AMGO","Spinus tristis","American Goldfinch","7 Taiga Shield & Hudson Plains",0.935,0.609,1.3,0.0063,0.0041,0.0087,1.49
"AMGO","Spinus tristis","American Goldfinch","8 Boreal Softwood Shield",7.61,6.87,8.51,0.0578,0.0522,0.0646,1.32
"AMGO","Spinus tristis","American Goldfinch","9 Great Basin",0.202,0.18,0.234,0.0367,0.0327,0.0424,0.0552
"AMGO","Spinus tristis","American Goldfinch","10 Northern Rockies",0.914,0.79,1.08,0.0245,0.0212,0.0289,0.372
"AMGO","Spinus tristis","American Goldfinch","11 Prairie Potholes",8.88,8.62,9.32,0.2,0.194,0.21,0.444
"AMGO","Spinus tristis","American Goldfinch","12 Boreal Hardwood Transition",7.86,7.37,8.38,0.21,0.197,0.225,0.373
"AMGO","Spinus tristis","American Goldfinch","13 Lower Great Lakes/St. Lawrence Plain",5.09,4.79,5.56,0.5,0.471,0.546,0.102
"AMGO","Spinus tristis","American Goldfinch","14 Atlantic Northern Forest",6.02,5.85,6.32,0.309,0.3,0.324,0.195
"AMGO","Spinus tristis","American Goldfinch","6-0 Boreal Taiga Plains, South",6.91,6.52,7.39,0.0915,0.0863,0.0977,0.756
"AMGO","Spinus tristis","American Goldfinch","6-1 Boreal Taiga Plains, North",0.106,0.0462,0.189,0.0025,0.0011,0.0044,0.428
"AMGO","Spinus tristis","American Goldfinch","7-0 Taiga Shield & Hudson Plains, West",0.288,0.163,0.424,0.0051,0.0029,0.0076,0.561
"AMGO","Spinus tristis","American Goldfinch","7-1 Taiga Shield & Hudson Plains, East",0.641,0.285,0.963,0.0069,0.0031,0.0104,0.925
"AMGO","Spinus tristis","American Goldfinch","8-0 Boreal Softwood Shield, West",2.05,1.76,2.35,0.0589,0.0505,0.0674,0.348
"AMGO","Spinus tristis","American Goldfinch","8-1 Boreal Softwood Shield, Ontario",2.27,1.93,2.73,0.0575,0.0489,0.0691,0.395
"AMGO","Spinus tristis","American Goldfinch","8-2 Boreal Softwood Shield, East",2.84,2.5,3.28,0.06,0.0529,0.0693,0.473
"AMGO","Spinus tristis","American Goldfinch","8-3 Boreal Softwood Shield, Newfoundland",0.32,0.233,0.418,0.0339,0.0247,0.0443,0.0945
"AMPI","Anthus rubescens","American Pipit","Canada",0.172,0.0438,0.377,3e-04,1e-04,6e-04,6.21
"AMPI","Anthus rubescens","American Pipit","4 Northwestern Interior Forest",0.0255,0.0056,0.105,5e-04,1e-04,0.0019,0.546
"AMPI","Anthus rubescens","American Pipit","5 Northern Pacific Rainforest",5e-04,1e-04,0.0022,0,0,2e-04,0.136
"AMPI","Anthus rubescens","American Pipit","6 Boreal Taiga Plains",0.0024,3e-04,0.0075,0,0,1e-04,1.18
"AMPI","Anthus rubescens","American Pipit","7 Taiga Shield & Hudson Plains",0.0985,0.0121,0.32,7e-04,1e-04,0.0021,1.49
"AMPI","Anthus rubescens","American Pipit","8 Boreal Softwood Shield",0.001,2e-04,0.0037,0,0,0,1.32
"AMPI","Anthus rubescens","American Pipit","9 Great Basin",0,0,2e-04,0,0,0,0.0552
"AMPI","Anthus rubescens","American Pipit","10 Northern Rockies",0.0019,2e-04,0.0118,1e-04,0,3e-04,0.372
"AMPI","Anthus rubescens","American Pipit","11 Prairie Potholes",0.0014,0,0.0036,0,0,1e-04,0.444
"AMPI","Anthus rubescens","American Pipit","12 Boreal Hardwood Transition",6e-04,0,0.0015,0,0,0,0.373
"AMPI","Anthus rubescens","American Pipit","13 Lower Great Lakes/St. Lawrence Plain",0,0,1e-04,0,0,0,0.102
"AMPI","Anthus rubescens","American Pipit","14 Atlantic Northern Forest",0,0,0,0,0,0,0.195
"AMPI","Anthus rubescens","American Pipit","6-0 Boreal Taiga Plains, South",5e-04,0,0.0012,0,0,0,0.756
"AMPI","Anthus rubescens","American Pipit","6-1 Boreal Taiga Plains, North",0.0017,2e-04,0.0065,0,0,2e-04,0.428
"AMPI","Anthus rubescens","American Pipit","7-0 Taiga Shield & Hudson Plains, West",0.036,8e-04,0.115,6e-04,0,0.0021,0.561
"AMPI","Anthus rubescens","American Pipit","7-1 Taiga Shield & Hudson Plains, East",0.0464,0.0013,0.225,5e-04,0,0.0024,0.925
"AMPI","Anthus rubescens","American Pipit","8-0 Boreal Softwood Shield, West",7e-04,0,0.0035,0,0,1e-04,0.348
"AMPI","Anthus rubescens","American Pipit","8-1 Boreal Softwood Shield, Ontario",1e-04,0,3e-04,0,0,0,0.395
"AMPI","Anthus rubescens","American Pipit","8-2 Boreal Softwood Shield, East",1e-04,0,1e-04,0,0,0,0.473
"AMPI","Anthus rubescens","American Pipit","8-3 Boreal Softwood Shield, Newfoundland",0,0,6e-04,0,0,1e-04,0.0945
"AMRE","Setophaga ruticilla","American Redstart","Canada",54.9,53.5,56.2,0.0883,0.0861,0.0904,6.21
"AMRE","Setophaga ruticilla","American Redstart","4 Northwestern Interior Forest",2.42,2.17,2.86,0.0443,0.0398,0.0523,0.546
"AMRE","Setophaga ruticilla","American Redstart","5 Northern Pacific Rainforest",0.76,0.677,0.82,0.0558,0.0497,0.0602,0.136
"AMRE","Setophaga ruticilla","American Redstart","6 Boreal Taiga Plains",8.7,8.24,9.04,0.0735,0.0696,0.0763,1.18
"AMRE","Setophaga ruticilla","American Redstart","7 Taiga Shield & Hudson Plains",4.88,4.08,5.65,0.0327,0.0274,0.0379,1.49
"AMRE","Setophaga ruticilla","American Redstart","8 Boreal Softwood Shield",14.7,14.2,15.5,0.112,0.108,0.118,1.32
"AMRE","Setophaga ruticilla","American Redstart","9 Great Basin",0.239,0.154,0.272,0.0433,0.0279,0.0493,0.0552
"AMRE","Setophaga ruticilla","American Redstart","10 Northern Rockies",4.48,4.14,4.97,0.12,0.111,0.134,0.372
"AMRE","Setophaga ruticilla","American Redstart","11 Prairie Potholes",2.06,1.89,2.18,0.0464,0.0426,0.0491,0.444
"AMRE","Setophaga ruticilla","American Redstart","12 Boreal Hardwood Transition",8.05,7.86,8.22,0.216,0.21,0.22,0.373
